ppvc_name,view_name,element_id,annotation_type
PPVC 02_Typ 1,Elevation A,12319399,Dimension
PPVC 02_Typ 1,Elevation A,12298203,Dimension
PPVC 02_Typ 1,Elevation A,12319443,Dimension
PPVC 02_Typ 1,Elevation A,12320421,Dimension
PPVC 02_Typ 1,Elevation A,12318811,Dimension
PPVC 02_Typ 1,Elevation A,12318853,Dimension
PPVC 02_Typ 1,Elevation A,12318722,Dimension
PPVC 02_Typ 1,Elevation A,12318700,Dimension
PPVC 02_Typ 1,Elevation A,12318865,Dimension
PPVC 02_Typ 1,Elevation A,12319508,Dimension
PPVC 02_Typ 1,Elevation A,12319473,Dimension
PPVC 02_Typ 1,Elevation A,12319450,Dimension
PPVC 02_Typ 1,Elevation A,12309244,TextNote
PPVC 02_Typ 1,Elevation A,12319644,TextNote
PPVC 02_Typ 1,Elevation A,12319633,TextNote
PPVC 02_Typ 1,Elevation A,12319750,TextNote
PPVC 02_Typ 1,Elevation B,12354284,Dimension
PPVC 02_Typ 1,Elevation B,12323544,Dimension
PPVC 02_Typ 1,Elevation B,12335570,Dimension
PPVC 02_Typ 1,Elevation B,12335542,Dimension
PPVC 02_Typ 1,Elevation B,12335506,Dimension
PPVC 02_Typ 1,Elevation B,12323392,Dimension
PPVC 02_Typ 1,Elevation B,12324005,Dimension
PPVC 02_Typ 1,Elevation B,12310077,TextNote
PPVC 02_Typ 1,Elevation B,12323540,TextNote
PPVC 02_Typ 1,Elevation B,12324022,TextNote
PPVC 02_Typ 1,Elevation C,12320895,Dimension
PPVC 02_Typ 1,Elevation C,12320875,Dimension
PPVC 02_Typ 1,Elevation C,12321361,Dimension
PPVC 02_Typ 1,Elevation C,12325199,Dimension
PPVC 02_Typ 1,Elevation C,12321478,Dimension
PPVC 02_Typ 1,Elevation C,12320659,Dimension
PPVC 02_Typ 1,Elevation C,12320615,Dimension
PPVC 02_Typ 1,Elevation C,12320603,Dimension
PPVC 02_Typ 1,Elevation C,12322161,Dimension
PPVC 02_Typ 1,Elevation C,12338149,Dimension
PPVC 02_Typ 1,Elevation C,12338292,Dimension
PPVC 02_Typ 1,Elevation C,12391513,Dimension
PPVC 02_Typ 1,Elevation C,12322663,Dimension
PPVC 02_Typ 1,Elevation C,12309743,TextNote
PPVC 02_Typ 1,Elevation C,12309742,TextNote
PPVC 02_Typ 1,Elevation C,12322919,TextNote
PPVC 02_Typ 1,Elevation C,12323004,TextNote
PPVC 02_Typ 1,Elevation C,12344135,TextNote
PPVC 02_Typ 1,Elevation C,12323028,TextNote
PPVC 02_Typ 1,Elevation D,12352601,Dimension
PPVC 02_Typ 1,Elevation D,12325560,Dimension
PPVC 02_Typ 1,Elevation D,12395098,Dimension
PPVC 02_Typ 1,Elevation D,12325385,Dimension
PPVC 02_Typ 1,Elevation D,12325819,Dimension
PPVC 02_Typ 1,Elevation D,12325074,Dimension
PPVC 02_Typ 1,Elevation D,12325061,Dimension
PPVC 02_Typ 1,Elevation D,12325049,Dimension
PPVC 02_Typ 1,Elevation D,12386156,Dimension
PPVC 02_Typ 1,Elevation D,12407099,Dimension
PPVC 02_Typ 1,Elevation D,12386086,Dimension
PPVC 02_Typ 1,Elevation D,12385931,Dimension
PPVC 02_Typ 1,Elevation D,12400812,Dimension
PPVC 02_Typ 1,Elevation D,12325699,Dimension
PPVC 02_Typ 1,Elevation D,12401162,Dimension
PPVC 02_Typ 1,Elevation D,12397839,TextNote
PPVC 02_Typ 1,Elevation D,12325836,TextNote
PPVC 02_Typ 1,Elevation D,12325844,TextNote
PPVC 02_Typ 1,Elevation D,12386170,TextNote
PPVC 02_Typ 1,Elevation D,12325873,TextNote
PPVC 02_Typ 1,Elevation D,12325883,TextNote
